state,year,name,type,city,county,enroll,mmr,overall,schagepop2016,statespending2016
Arizona,2018-19,Alhambra Traditional,Public,Phoenix,Maricopa,86,94.19,NA,1199,7137123
Arizona,2018-19,Alice Byrne Elementary,Public,Yuma,Yuma,62,98.39,NA,1199,7137123
Arizona,2018-19,All Aboard Charter,Charter,Phoenix,Maricopa,24,100,NA,1199,7137123
Arizona,2018-19,All Saints Catholic,Private,Sierra Vista,Cochise,21,95.24,NA,1199,7137123
Arizona,2018-19,All Saints Episcopal Day,Private,Phoenix,Maricopa,47,93.62,NA,1199,7137123
Arizona,2018-19,Alpine Elementary,Public,Alpine,Apache,NA,NA,NA,1199,7137123
Arizona,2018-19,Alta E Butler,Public,Phoenix,Maricopa,73,98.63,NA,1199,7137123
Arizona,2018-19,Alta Loma,Public,Peoria,Maricopa,69,92.75,NA,1199,7137123
Arizona,2018-19,Alta Vista Elementary,Public,Phoenix,Maricopa,103,96.12,NA,1199,7137123
Arizona,2018-19,Amberlea Elementary,Public,Phoenix,Maricopa,58,96.55,NA,1199,7137123
Arizona,2018-19,American Heritage Academy - Camp Verde,Charter,Camp Verde,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,American Heritage Academy - Cottonwood,Charter,Cottonwood,Yavapai,21,42.86,NA,1199,7137123
Arizona,2018-19,American Leadership Academy - Gilbert,Charter,Gilbert,Maricopa,121,74.38,NA,1199,7137123
Arizona,2018-19,American Leadership Academy - Ironwood K-6,Charter,Queen Creek,Pinal,94,89.36,NA,1199,7137123
Arizona,2018-19,American Leadership Academy - Mesa,Charter,Mesa,Maricopa,69,91.3,NA,1199,7137123
Arizona,2018-19,American Leadership Academy - San Tan,Charter,Queen Creek,Maricopa,111,91.89,NA,1199,7137123
Arizona,2018-19,American Leadership Academy Anthem South Campus,Charter,Florence,Pinal,72,93.06,NA,1199,7137123
Arizona,2018-19,American Leadership Academy- Gilbert North K-6 Campus,Charter,Gilbert,Maricopa,97,82.47,NA,1199,7137123
Arizona,2018-19,American Leadership Academy- Gilbert South K-6 Campus,Charter,Gilbert,Maricopa,44,81.82,NA,1199,7137123
Arizona,2018-19,American Leadership Academy- Signal Butte K-6 Campus,Charter,Queen Creek,Maricopa,52,75,NA,1199,7137123
Arizona,2018-19,American Leadership Acadmey - Queen Creek Elementary,Charter,Chandler,Maricopa,82,82.93,NA,1199,7137123
Arizona,2018-19,Amerischools Academy - Country Club,Charter,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Amerischools Academy - Yuma North Campus,Charter,Yuma,Yuma,45,95.56,NA,1199,7137123
Arizona,2018-19,Amerischools Academy - Yuma South Campus,Charter,Yuma,Yuma,22,100,NA,1199,7137123
Arizona,2018-19,Amy L. Houston Academy,Public,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Anasazi Elementary,Public,Scottsdale,Maricopa,46,86.96,NA,1199,7137123
Arizona,2018-19,Anna Henry Elementary,Public,Tucson,Pima,55,98.18,NA,1199,7137123
Arizona,2018-19,Anna Lawrence Intermediate,Public,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Anna Marie Jacobson Elementary,Public,Chandler,Maricopa,98,88.78,NA,1199,7137123
Arizona,2018-19,Annie Kellond Elementary,Public,Tucson,Pima,81,96.3,NA,1199,7137123
Arizona,2018-19,Anthem,Public,Anthem,Maricopa,52,94.23,NA,1199,7137123
Arizona,2018-19,Anthem K-8,Public,Florence,Pinal,85,92.94,NA,1199,7137123
Arizona,2018-19,Anthem Preparatory Academy,Charter,Anthem,Maricopa,61,86.89,NA,1199,7137123
Arizona,2018-19,Anza Trail Elementary,Public,Sahuarita,Pima,98,97.96,NA,1199,7137123
Arizona,2018-19,Apache Elementary,Public,Peoria,Maricopa,71,98.59,NA,1199,7137123
Arizona,2018-19,Apache Elementary,Public,Portal,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Arcadia Montessori,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arcadia Neighborhood Learning Center,Public,Scottsdale,Maricopa,42,95.24,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy - Chandler,Charter,Chandler,Maricopa,83,92.77,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy - Scottsdale,Charter,Scottsdale,Maricopa,170,87.06,NA,1199,7137123
Arizona,2018-19,Archway Classical Academy Glendale,Charter,Peoria,Maricopa,91,93.41,NA,1199,7137123
Arizona,2018-19,Arizona Academy Of Science And Technology,Charter,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arizona Autism Charter,Charter,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arizona Charter Academy,Charter,Surprise,Maricopa,124,99.19,NA,1199,7137123
Arizona,2018-19,Arizona Connections Academy,Charter,Gilbert,Maricopa,115,72.17,NA,1199,7137123
Arizona,2018-19,Arizona Cultural Academy,Private,Phoenix,Maricopa,26,100,NA,1199,7137123
Arizona,2018-19,Arizona Desert Elementary,Public,San Luis,Yuma,78,100,NA,1199,7137123
Arizona,2018-19,Arizona Desert Elementary,Public,Tolleson,Maricopa,73,94.52,NA,1199,7137123
Arizona,2018-19,Arizona School For The Deaf & Blind,Public,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Arlington Elementary,Public,Arlington,Maricopa,23,95.65,NA,1199,7137123
Arizona,2018-19,Arredondo Elementary,Public,Tempe,Maricopa,76,96.05,NA,1199,7137123
Arizona,2018-19,Arrowhead Christian Academy,Private,Glendale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Arrowhead Elementary School-85032,Public,Phoenix,Maricopa,31,93.55,NA,1199,7137123
Arizona,2018-19,Arrowhead Elementary School-85308,Public,Glendale,Maricopa,81,95.06,NA,1199,7137123
Arizona,2018-19,Arroyo,Public,Glendale,Maricopa,42,97.62,NA,1199,7137123
Arizona,2018-19,Arthur M Hamilton,Public,Phoenix,Maricopa,35,100,NA,1199,7137123
Arizona,2018-19,Arts Academy At Estrella Mountain,Charter,Phoenix,Maricopa,121,93.39,NA,1199,7137123
Arizona,2018-19,Ascension Lutheran,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Ash Creek Elementary,Public,Pearce,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Ash Fork Elementary,Public,Ash Fork,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,Ashton Ranch Elementary,Public,Surprise,Maricopa,68,95.59,NA,1199,7137123
Arizona,2018-19,Asu Preparatory Academy - Phoenix Elementary,Public,Phoenix,Maricopa,69,97.1,NA,1199,7137123
Arizona,2018-19,Asu Preparatory Academy - Polytechnic Elementary,Public,Mesa,Maricopa,74,95.95,NA,1199,7137123
Arizona,2018-19,Atonement Lutheran,Private,Glendale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Audrey & Robert Ryan Elementary,Public,Chandler,Maricopa,79,92.41,NA,1199,7137123
Arizona,2018-19,Augusta Ranch Elementary,Public,Mesa,Maricopa,138,92.75,NA,1199,7137123
Arizona,2018-19,Augustus H Shaw Jr,Public,Phoenix,Maricopa,69,88.41,NA,1199,7137123
Arizona,2018-19,Avalon Elementary,Charter,Apache Junction,Pinal,52,86.54,NA,1199,7137123
Arizona,2018-19,Awakening Seed,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Az Aspire Academy,Private,Tempe,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bagdad Elementary,Public,Bagdad,Yavapai,30,96.67,NA,1199,7137123
Arizona,2018-19,Bales Elementary,Public,Buckeye,Maricopa,72,94.44,NA,1199,7137123
Arizona,2018-19,Barbara B Robey Elementary,Public,Litchfield Park,Maricopa,114,98.25,NA,1199,7137123
Arizona,2018-19,Barbara Bush Elementary,Public,Mesa,Maricopa,80,93.75,NA,1199,7137123
Arizona,2018-19,Barcelona Elementary,Public,Glendale,Maricopa,119,96.64,NA,1199,7137123
Arizona,2018-19,Basha Elementary,Public,Chandler,Maricopa,71,92.96,NA,1199,7137123
Arizona,2018-19,Basis - Flagstaff,Charter,Flagstaff,Coconino,64,96.88,NA,1199,7137123
Arizona,2018-19,Basis - Mesa,Charter,Mesa,Maricopa,59,96.61,NA,1199,7137123
Arizona,2018-19,Basis - Peoria Primary,Charter,Peoria,Maricopa,126,95.24,NA,1199,7137123
Arizona,2018-19,Basis - Phoenix Primary,Charter,Phoenix,Maricopa,127,93.7,NA,1199,7137123
Arizona,2018-19,Basis - Scottsdale Primary West Campus,Charter,Scottsdale,Maricopa,92,92.39,NA,1199,7137123
Arizona,2018-19,Basis - Tucson Middle,Charter,Tucson,Pima,161,96.27,NA,1199,7137123
Arizona,2018-19,Basis Chandler Primary North Campus,Charter,Chandler,Maricopa,125,87.2,NA,1199,7137123
Arizona,2018-19,Basis Chandler Primary South Campus,Charter,Chandler,Maricopa,87,96.55,NA,1199,7137123
Arizona,2018-19,Basis Goodyear Primary,Charter,Goodyear,Maricopa,110,87.27,NA,1199,7137123
Arizona,2018-19,Basis Phoenix Central Primary,Charter,Phoenix,Maricopa,104,92.31,NA,1199,7137123
Arizona,2018-19,Basis Phoenix South Primary,Charter,Phoenix,Maricopa,88,89.77,NA,1199,7137123
Arizona,2018-19,Basis Prescott,Public,Prescott,Yavapai,62,72.58,NA,1199,7137123
Arizona,2018-19,Basis Scottsdale Primary,Charter,Scottsdale,Maricopa,129,93.8,NA,1199,7137123
Arizona,2018-19,Bayer Private,Private,Glendale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Beautiful Savior Academy,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Beaver Creek,Public,Rimrock,Yavapai,39,89.74,NA,1199,7137123
Arizona,2018-19,Beaver Dam Elementary,Public,Littlefield,Mohave,23,95.65,NA,1199,7137123
Arizona,2018-19,Bella Montessori,Private,Gilbert,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bella Vista Elementary,Public,Sierra Vista,Cochise,54,100,NA,1199,7137123
Arizona,2018-19,Bellair Elementary,Public,Glendale,Maricopa,53,96.23,NA,1199,7137123
Arizona,2018-19,Benchmark,Charter,Phoenix,Maricopa,55,83.64,NA,1199,7137123
Arizona,2018-19,Benjamin Franklin Charter School - Crimson,Charter,Queen Creek,Maricopa,114,79.82,NA,1199,7137123
Arizona,2018-19,Benjamin Franklin Charter School - Gilbert,Charter,Gilbert,Maricopa,96,76.04,NA,1199,7137123
Arizona,2018-19,Benjamin Franklin Charter School - Power Rd,Charter,Gilbert,Maricopa,84,83.33,NA,1199,7137123
Arizona,2018-19,Bennett Academy - Venture Site,Charter,Phoenix,Maricopa,25,96,NA,1199,7137123
Arizona,2018-19,Bernard Black Elementary,Public,Phoenix,Maricopa,53,92.45,NA,1199,7137123
Arizona,2018-19,Bethany Christian,Private,Tempe,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bicentennial South,Public,Glendale,Maricopa,121,98.35,NA,1199,7137123
Arizona,2018-19,Biltmore Preparatory Academy,Public,Phoenix,Maricopa,77,90.91,NA,1199,7137123
Arizona,2018-19,Black Mountain Elementary,Public,Cave Creek,Maricopa,63,80.95,NA,1199,7137123
Arizona,2018-19,Black Mountain Elementary,Public,Golden Valley,Mohave,47,89.36,NA,1199,7137123
Arizona,2018-19,Blake Primary,Public,Parker,La Paz,130,97.69,NA,1199,7137123
Arizona,2018-19,Blenman Elementary,Public,Tucson,Pima,54,100,NA,1199,7137123
Arizona,2018-19,Bloom Elementary,Public,Tucson,Pima,56,96.43,NA,1199,7137123
Arizona,2018-19,Blue Elementary,Public,Blue,Greenlee,NA,NA,NA,1199,7137123
Arizona,2018-19,Blue Ridge Elementary,Public,Lakeside,Navajo,126,85.71,NA,1199,7137123
Arizona,2018-19,Bonillas Elementary Basic Curriculum Magn,Public,Tucson,Pima,51,98.04,NA,1199,7137123
Arizona,2018-19,Bonita Elementary,Public,Bonita,Graham,NA,NA,NA,1199,7137123
Arizona,2018-19,Bonnie Brennan,Public,Winslow,Navajo,123,97.56,NA,1199,7137123
Arizona,2018-19,Booth Magnet Elementary,Public,Tucson,Pima,34,100,NA,1199,7137123
Arizona,2018-19,Borman Elementary,Public,Tucson,Pima,94,98.94,NA,1199,7137123
Arizona,2018-19,Borton Primary Magnet,Public,Tucson,Pima,70,95.71,NA,1199,7137123
Arizona,2018-19,Boulder Creek Elementary,Public,Mesa,Maricopa,66,98.48,NA,1199,7137123
Arizona,2018-19,Boulder Creek Elementary,Public,Phoenix,Maricopa,102,94.12,NA,1199,7137123
Arizona,2018-19,Bouse Elementary,Public,Bouse,La Paz,NA,NA,NA,1199,7137123
Arizona,2018-19,Bowie Elementary,Public,Bowie,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Bret Tarver Elementary,Public,Phoenix,Maricopa,81,95.06,NA,1199,7137123
Arizona,2018-19,Bridges Elementary,Public,Gilbert,Maricopa,103,93.2,NA,1199,7137123
Arizona,2018-19,Bridges Preschool,Private,Gilbert,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bridges Preschool,Private,Queen Creek,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bridges Preschool,Private,Tempe,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Bright Beginnings School #1,Charter,Chandler,Maricopa,31,83.87,NA,1199,7137123
Arizona,2018-19,Broadmor Elementary,Public,Tempe,Maricopa,117,94.02,NA,1199,7137123
Arizona,2018-19,Brunson-Lee Elementary,Public,Phoenix,Maricopa,82,97.56,NA,1199,7137123
Arizona,2018-19,Buckeye Primary,Public,Buckeye,Maricopa,97,93.81,NA,1199,7137123
Arizona,2018-19,Burk Elementary,Public,Gilbert,Maricopa,61,91.8,NA,1199,7137123
Arizona,2018-19,Burke Basic,Charter,Mesa,Maricopa,133,95.49,NA,1199,7137123
Arizona,2018-19,Butterfield Elementary,Public,Maricopa,Pinal,86,94.19,NA,1199,7137123
Arizona,2018-19,Butterfield Elementary,Public,Tucson,Pima,57,100,NA,1199,7137123
Arizona,2018-19,C E Rose Elementary,Public,Tucson,Pima,79,97.47,NA,1199,7137123
Arizona,2018-19,C I Waggoner,Public,Tempe,Maricopa,78,87.18,NA,1199,7137123
Arizona,2018-19,C J Jorgensen,Public,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,C W Mcgraw Elementary,Public,Yuma,Yuma,90,92.22,NA,1199,7137123
Arizona,2018-19,Cactus View Elementary,Public,Phoenix,Maricopa,92,94.57,NA,1199,7137123
Arizona,2018-19,Cactus Wren Elementary,Public,Phoenix,Maricopa,62,91.94,NA,1199,7137123
Arizona,2018-19,Calabasas,Public,Rio Rico,Santa Cruz,74,95.95,NA,1199,7137123
Arizona,2018-19,Calibre Academy Surprise,Charter,Surprise,Maricopa,61,81.97,NA,1199,7137123
Arizona,2018-19,Calvary Chapel Christian,Private,Tucson,Pima,21,66.67,NA,1199,7137123
Arizona,2018-19,Calvary Christian Academy,Private,Lake Havasu City,Mohave,39,79.49,NA,1199,7137123
Arizona,2018-19,Calvary North Preschool,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Camelback Academy,Charter,Glendale,Maricopa,66,96.97,NA,1199,7137123
Arizona,2018-19,Camelback Christian,Private,Paradise Valley,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Camelback Desert,Private,Scottsdale,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Camp Verde Elementary,Public,Camp Verde,Yavapai,97,56.7,NA,1199,7137123
Arizona,2018-19,Camp Verde United Christian,Private,Camp Verde,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,Campo Bello Elementary,Public,Phoenix,Maricopa,77,97.4,NA,1199,7137123
Arizona,2018-19,Candeo Schools,Charter,Peoria,Maricopa,72,81.94,NA,1199,7137123
Arizona,2018-19,Canon,Public,Black Canyon City,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,Canyon Breeze Elementary,Public,Avondale,Maricopa,62,98.39,NA,1199,7137123
Arizona,2018-19,Canyon Elementary,Public,Glendale,Maricopa,32,93.75,NA,1199,7137123
Arizona,2018-19,Canyon Pointe Academy,Charter,Glendale,Maricopa,32,71.88,NA,1199,7137123
Arizona,2018-19,Canyon Ridge Elementary,Public,Surprise,Maricopa,86,87.21,NA,1199,7137123
Arizona,2018-19,Canyon Rim Elementary,Public,Mesa,Maricopa,111,91.89,NA,1199,7137123
Arizona,2018-19,Canyon Springs,Public,Anthem,Maricopa,77,88.31,NA,1199,7137123
Arizona,2018-19,Canyon View Elementary,Public,Tucson,Pima,43,95.35,NA,1199,7137123
Arizona,2018-19,Capitol Elementary,Public,Phoenix,Maricopa,52,98.08,NA,1199,7137123
Arizona,2018-19,Carden Christian Academy Central,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Carden Of Tucson,Charter,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Career Success School - Sage Campus,Charter,Phoenix,Maricopa,38,94.74,NA,1199,7137123
Arizona,2018-19,Carmichael Elementary,Public,Sierra Vista,Cochise,52,98.08,NA,1199,7137123
Arizona,2018-19,Carminati,Public,Tempe,Maricopa,63,93.65,NA,1199,7137123
Arizona,2018-19,Carol G. Peck Elementary,Public,Glendale,Maricopa,80,95,NA,1199,7137123
Arizona,2018-19,Carol Rae Ranch Elementary,Public,Gilbert,Maricopa,81,96.3,NA,1199,7137123
Arizona,2018-19,Carrillo Intermediate Magnet,Public,Tucson,Pima,47,100,NA,1199,7137123
Arizona,2018-19,Carrizo Mission,Private,Teec Nos Pos,Apache,NA,NA,NA,1199,7137123
Arizona,2018-19,Cartwright Elementary,Public,Phoenix,Maricopa,66,95.45,NA,1199,7137123
Arizona,2018-19,Casa Academy,Charter,Phoenix,Maricopa,52,96.15,NA,1199,7137123
Arizona,2018-19,Casa Blanca Community,Public,Bapchule,Pinal,54,100,NA,1199,7137123
Arizona,2018-19,Casa Del Nino Bilingual Montessori Elementary,Private,Chandler,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Casas Christian,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Castlehill Country Day,Private,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Caurus Academy,Charter,Phoenix,Maricopa,49,65.31,NA,1199,7137123
Arizona,2018-19,Cave Creek Montessori,Private,Cave Creek,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Cavett Elementary,Public,Tucson,Pima,38,92.11,NA,1199,7137123
Arizona,2018-19,Cedar Hills,Public,Kingman,Mohave,NA,NA,NA,1199,7137123
Arizona,2018-19,Centennial Elementary,Public,Gilbert,Maricopa,89,94.38,NA,1199,7137123
Arizona,2018-19,Centennial Elementary,Public,Tucson,Pima,61,98.36,NA,1199,7137123
Arizona,2018-19,Center For Academic Success #3,Charter,Douglas,Cochise,33,90.91,NA,1199,7137123
Arizona,2018-19,Center For Academic Success #5,Charter,Sierra Vista,Cochise,40,92.5,NA,1199,7137123
Arizona,2018-19,Center For Educational Excellence,Charter,Tempe,Maricopa,31,90.32,NA,1199,7137123
Arizona,2018-19,Centerra Mirage Elementary,Public,Goodyear,Maricopa,51,98.04,NA,1199,7137123
Arizona,2018-19,Cerbat Elementary,Public,Kingman,Mohave,136,83.09,NA,1199,7137123
Arizona,2018-19,Cesar Chavez Elementary,Public,San Luis,Yuma,98,100,NA,1199,7137123
Arizona,2018-19,Cesar E Chavez Community,Public,Phoenix,Maricopa,54,96.3,NA,1199,7137123
Arizona,2018-19,Challenge Charter,Charter,Glendale,Maricopa,79,89.87,NA,1199,7137123
Arizona,2018-19,Challenger Basic,Charter,Gilbert,Maricopa,45,80,NA,1199,7137123
Arizona,2018-19,Challenger Elementary,Public,Nogales,Santa Cruz,67,100,NA,1199,7137123
Arizona,2018-19,Champion Chandler,Charter,Chandler,Maricopa,60,86.67,NA,1199,7137123
Arizona,2018-19,Champion Schools,Charter,Phoenix,Maricopa,62,85.48,NA,1199,7137123
Arizona,2018-19,Champion Schools San Tan Valley,Charter,San Tan Valley,Pinal,54,55.56,NA,1199,7137123
Arizona,2018-19,Chandler Christian Academy,Private,Chandler,Maricopa,22,86.36,NA,1199,7137123
Arizona,2018-19,Chandler Traditional Academy - Freedom,Public,Gilbert,Maricopa,81,93.83,NA,1199,7137123
Arizona,2018-19,Chandler Traditional Academy - Goodman Campus,Public,Chandler,Maricopa,120,96.67,NA,1199,7137123
Arizona,2018-19,Chandler Traditional Academy - Independence,Public,Chandler,Maricopa,128,97.66,NA,1199,7137123
Arizona,2018-19,Chandler Traditional Academy - Liberty Campus,Public,Chandler,Maricopa,117,93.16,NA,1199,7137123
Arizona,2018-19,Chaparral Elementary School-85029,Public,Phoenix,Maricopa,75,97.33,NA,1199,7137123
Arizona,2018-19,Chaparral Elementary School-85295,Public,Gilbert,Maricopa,132,92.42,NA,1199,7137123
Arizona,2018-19,Charles W Harris Elementary,Public,Phoenix,Maricopa,97,97.94,NA,1199,7137123
Arizona,2018-19,Charles W Sechrist Elementary,Public,Flagstaff,Coconino,76,94.74,NA,1199,7137123
Arizona,2018-19,Charlotte Patterson Elementary,Public,Gilbert,Maricopa,139,92.81,NA,1199,7137123
Arizona,2018-19,Cheatham Elementary,Public,Laveen,Maricopa,95,93.68,NA,1199,7137123
Arizona,2018-19,Cherokee Elementary,Charter,Scottsdale,Maricopa,124,90.32,NA,1199,7137123
Arizona,2018-19,Cheyenne Elementary,Public,Peoria,Maricopa,57,96.49,NA,1199,7137123
Arizona,2018-19,Cheyenne Traditional Elementary,Public,Scottsdale,Maricopa,91,94.51,NA,1199,7137123
Arizona,2018-19,Children First Academy - Phoenix,Charter,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Children Reaching For The Sky Preparatory,Charter,Tucson,Pima,33,90.91,NA,1199,7137123
Arizona,2018-19,Chinle Elementary,Public,Chinle,Apache,58,100,NA,1199,7137123
Arizona,2018-19,Cholla Elementary,Public,Casa Grande,Pinal,70,95.71,NA,1199,7137123
Arizona,2018-19,Christ Church,Private,Paradise Valley,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Christ Lutheran,Private,Phoenix,Maricopa,54,92.59,NA,1199,7137123
Arizona,2018-19,Christ Lutheran Vail Church Early Care And Education,Private,Vail,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Christ The King Catholic,Private,Mesa,Maricopa,24,91.67,NA,1199,7137123
Arizona,2018-19,Christ's Greenfield Lutheran,Private,Gilbert,Maricopa,24,95.83,NA,1199,7137123
Arizona,2018-19,Cimarron Springs Elementary,Public,Surprise,Maricopa,90,92.22,NA,1199,7137123
Arizona,2018-19,Circle Cross K-8 Stem Academy,Public,San Tan Valley,Pinal,71,95.77,NA,1199,7137123
Arizona,2018-19,Civano Charter,Charter,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Clawson,Public,Douglas,Cochise,56,96.43,NA,1199,7137123
Arizona,2018-19,Cloves C Campbell Sr Elementary,Public,Phoenix,Maricopa,39,94.87,NA,1199,7137123
Arizona,2018-19,Cochise Elementary,Public,Cochise,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Cochise Elementary,Public,Scottsdale,Maricopa,90,96.67,NA,1199,7137123
Arizona,2018-19,Cochise Sda Christian,Private,Bisbee,Cochise,NA,NA,NA,1199,7137123
Arizona,2018-19,Colegio Petite,Private,Nogales,Santa Cruz,46,91.3,NA,1199,7137123
Arizona,2018-19,Collier Elementary,Public,Avondale,Maricopa,95,93.68,NA,1199,7137123
Arizona,2018-19,Collier Elementary,Public,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Colonel Johnston Elementary,Public,Fort Huachuca,Cochise,99,96.97,NA,1199,7137123
Arizona,2018-19,Combs Traditional,Public,San Tan Valley,Pinal,52,92.31,NA,1199,7137123
Arizona,2018-19,Congress Elementary,Public,Congress,Yavapai,NA,NA,NA,1199,7137123
Arizona,2018-19,Constitution Elementary,Public,Phoenix,Maricopa,107,89.72,NA,1199,7137123
Arizona,2018-19,Continental Elementary,Public,Green Valley,Pima,57,98.25,NA,1199,7137123
Arizona,2018-19,Copper Basin K-8,Public,Queen Creek,Pinal,53,88.68,NA,1199,7137123
Arizona,2018-19,Copper Canyon Elementary,Public,Scottsdale,Maricopa,66,98.48,NA,1199,7137123
